Academic Year : 2025-26 Even Sem				,,,,,,,,,,,,,,,,,,,,
W.E.F. 27th January 2026		,,,,,,,,,,,,,,,,,,,,
Day ↓ Time →,Class Level,Section Name,08:45-9:40,9:40-10:35,10:35-10:50,10:50 - 11:45,11:45-12:40,12:40-1:40,1:40-2:35,2:35-3:30,03:30-03:40,3:40-4:30,Course Code,Course Name,Category,Abbreviation_course,Assigned Faculty,Faculty_Abbreviation,EMP_ID,Session Type
MONDAY,SY,DA1,CNL:JN:S-609,CNL:JN:S-609,Short Break,OS:PB:N-609,SP:KL:N-607/ DV:IR:N-605,Long Break,SCIL:N-609,SE:SH:N-609,Short Break,Project Meeting,23IT2005,Operating System,PCC,OS,Prof. Pallavi Bhujbal,PB,1020446,L
MONDAY,SY,DA2,WP:RR:S-611,WP:RR:S-611,Short Break,OS:PB:N-609,SP:KL:N-607/ DV:IR:N-605,Long Break,SCIL:N-609,SE:SH:N-609,Short Break,Project Meeting,23IT2004,Software Engineering,PCC,SE,Prof. Sachin Hiranwale,SH,1020748,L
MONDAY,SY,SMAD,AAD:RK:S-604,,Short Break,SE:SH:S-601,CN:JN:S-601,Long Break,SCIL:N-609,OS:PB:S-601,Short Break,Project Meeting,23MIE5001,Entrepreneurship,HSSM-ENT,ENT,Mr. Sumit Chuttar,SC,TEMP123,L
MONDAY,TY,Core1,AT:RAB:N-609,AS:RHB:N-609,Short Break,FAI:SS:N-609,DEVOPS:AJ:S-610,Long Break,DEVOPSL:AJ:S-610,DEVOPSL:AJ:S-610,Short Break,mentor meeting,23IT2002,Computer Network,PCC,CN,Prof. Rahul Bhole,RHB,1020487,L
MONDAY,TY,Core2,AT:RAB:N-609,AS:RHB:N-609,Short Break,FAI:SS:N-609,DEVOPS:AJ:S-610,Long Break,FAIL:SS:S-610,FAIL:SS:S-610,Short Break,mentor meeting,23CSE2016,Research Paper Writing and Literature Survey,ELC,RW&LS,Prof.Jyoti Nandimath,JN,1020381,L
MONDAY,TY,Core3,AT:RAB:N-609,AS:RHB:N-609,Short Break,FAI:SS:N-609,DEVOPS:AJ:S-610,Long Break,Library Slot,Library Slot,Short Break,mentor meeting,23IT2010,Project Based Learning - II,ELC,PBL-II,Respective Faculties,Respective Faculties,-,-
MONDAY,TY,DA1,DEVOPS:RB:S-611,DEVOPS:RB:S-611,Short Break,ISML:AG:S-610    ,ISML:AG:S-610    ,Long Break,ISM:AG:N-605/SC:RN:N-607,UED:PK:N-605/       NLP:KL:N-607,Short Break,mentor meeting,23IT2008,Web Programming,VSEC,WP,Prof. Rahul Rathod,RR,1020750,P
MONDAY,TY,DA2,DEVOPS:RB:S-611,DEVOPS:RB:S-611,Short Break,ISML:AG:S-610    ,ISML:AG:S-610    ,Long Break,ISM:AG:N-605/SC:RN:N-607,UED:PK:N-605/       NLP:KL:N-607,Short Break,mentor meeting,23IT2002,Computer Network Lab,PCC,CNL,Prof. Jyoti Nandimath,JN,1020381,P
MONDAY,TY,SMAD,DEVOPS:AJ:S-610,DEVOPS:AJ:S-610,Short Break,UED:PK:S-601,AT:RAB:S-601,Long Break,FSBD:RK:S-601,FSBD:RK:S-601,Short Break,mentor meeting,23IT1106,Data Visualisation(Elective-I),ELECTIVE-I,DV,Prof. Dr.Ishwari Raskar,IR,1020709,L
MONDAY,LY,Core1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT1107,Statistical Programming and Analysis,ELECTIVE-I,SP,Prof. Kalyani Lokhande,KL,1020447,L
MONDAY,LY,Core2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT2008,Web Programming,VSEC,WP,Prof. Rohini Bhosale,RB,1020316,P
MONDAY,LY,DA1,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT2002,Computer Network,PCC,CN,Prof. Jyoti Nandimath,JN,1020381,L
MONDAY,LY,DA2,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23CSE2016,Research Paper Writing and Literature Survey,ELC,RW&LS,Prof. Reetika Kerketta,RK,1020022,L
MONDAY,LY,SMAD,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,PP-II N-612,Long Break,PP-II N-612,PP-II N-612,Short Break,PP-II N-612,23IT2008,Web Programming,VSEC,WP,Prof. Pranjali Khadse,PK,1020737,P
