Day,Start Time,End Time,Subject Code,Faculty Name,Class Level,Section Name,Session Type,Batch,Room Number
MONDAY,10:48 AM,9:36 AM,DBPL,JN,SY,DA,Practical,1,S 604
MONDAY,12:00 PM,11.45,DSCi,IR,SY,DA,Lecture,1,N 609
MONDAY,10:48 AM,12.4,EVS,HM,SY,DA,Lecture,1,N 609
MONDAY,9:36 AM,2.35,MFC-III,RI,SY,DA,Lecture,1,N 605
MONDAY,8:24 AM,3.3,DBP,JN,SY,DA,Lecture,1,N 605
MONDAY,10:48 AM,9.4,DSAL,PK,SY,DA,Practical,2,N 611
MONDAY,9:36 AM,4.3,COA TUT,PB,SY,DA,Tutorial,2,S-601
MONDAY,10:48 AM,9.4,JP,RAB,SY,SMAD,Lecture,,S 609
MONDAY,12:00 PM,11.45,MFC-III,,SY,SMAD,Lecture,,N 601
MONDAY,10:48 AM,12.4,EVS,HM,SY,SMAD,Lecture,,N 609
MONDAY,9:36 AM,2.35,DSA,PK,SY,SMAD,Lecture,,S 601
MONDAY,8:24 AM,3.3,DBP,,SY,SMAD,Lecture,,
MONDAY,10:48 AM,9.4,NS,RHB,TY,Core,Lecture,1,N 605
MONDAY,10:48 AM,9.4,FSD,RK,TY,Core,Lecture,1,S 601
MONDAY,9:36 AM,10.35,SCIL,,TY,Core,Practical,1,N 605
MONDAY,12:00 PM,11.45,AA,NF2,TY,Core,Lecture,1,N 605
MONDAY,10:48 AM,12.4,FML,PB,TY,Core,Lecture,1,N 605
MONDAY,9:36 AM,2.35,NSL,RHB,TY,Core,Practical,1,N 613
MONDAY,9:36 AM,2.35,FSDL,RK,TY,Core,Practical,1,S 614
MONDAY,10:48 AM,9.4,TOC,IR,TY,DA,Lecture,1,N 609
MONDAY,9:36 AM,10.35,FML,RR,TY,DA,Lecture,1,N 609
MONDAY,12:00 PM,11.45,HHVL,PS,TY,DA,Practical,1,S 614
MONDAY,12:00 PM,11.45,CVL,NF2,TY,DA,Practical,1,N 611
MONDAY,9:36 AM,2.35,TOC TUT,,TY,DA,Tutorial,1,N-601
MONDAY,9:36 AM,2.35,FMLL,RR,TY,DA,Practical,2,S 610
MONDAY,10:48 AM,9.4,KOTLIN PROG.,,TY,SMAD,Practical,,S-604
MONDAY,12:00 PM,11.45,FSDL,RB,TY,SMAD,Practical,,S 611
MONDAY,10:48 AM,9.4,NLP,KL,LY,Core-I,Lecture,,N 607
MONDAY,9:36 AM,10.35,BI,SH,LY,Core-I,Lecture,,N 607
MONDAY,12:00 PM,11.45,week1&3: APL III BI,SH,LY,Core-I,Lecture,,S 610 Week 2 &4: APL III NLP(KL)N 613
MONDAY,9:36 AM,2.35,ISL,,LY,Core-I,Practical,,N 611
MONDAY,12:00 PM,11.45,week1&3: APL III NLP,KL,LY,Core II,Lecture,,N 613 Week 2 &4 : APL III BI(SH) S 610
MONDAY,10:48 AM,9.4,DLL,AJ,LY,DA-I,Lecture,,S 611
MONDAY,12:00 PM,11.45,BDE,NF2,LY,DA-I,Lecture,,N 607
MONDAY,10:48 AM,12.4,DL,AJ,LY,DA-I,Lecture,,N 607
MONDAY,9:36 AM,2.35,Elective-III(NLP,,LY,DA-I,Lecture,,
MONDAY,9:36 AM,2.35,DM)(KL,,LY,DA-I,Practical,,
MONDAY,9:36 AM,2.35,NF)N 607,,LY,DA-I,Lecture,,
MONDAY,9:36 AM,2.35,N 609,,LY,DA-I,Lecture,,
MONDAY,8:24 AM,3.3,BI,SH,LY,DA-I,Lecture,,N 607
MONDAY,10:48 AM,9.4,BDE,NF2,LY,DA-II,Lecture,,N 613
MONDAY,10:48 AM,9.4,FSD,RB,LY,SMAD,Lecture,,S 614
MONDAY,12:00 PM,11.45,IADL,NF1,LY,SMAD,Practical,,S 604
MONDAY,8:24 AM,3.3,BI,PS,LY,SMAD,Lecture,,N 609
MONDAY,9:36 AM,4.3,DL,JN,LY,SMAD,Lecture,,N 609
TUESDAY,10:48 AM,9.4,DSA,PK,SY,DA,Lecture,1,N 605
TUESDAY,9:36 AM,10.35,COA,PB,SY,DA,Lecture,1,N 605
TUESDAY,12:00 PM,11.45,JP,RAB,SY,DA,Lecture,1,S 610
TUESDAY,9:36 AM,2.35,DSA,PK,SY,DA,Lecture,1,N 609
TUESDAY,8:24 AM,3.3,MFC-III TUT,RI,SY,DA,Tutorial,1,N 605
TUESDAY,9:36 AM,4.3,COA TUT,PB,SY,DA,Tutorial,1,S 601
TUESDAY,12:00 PM,11.45,DBPL,JN,SY,DA,Practical,2,S 604
TUESDAY,8:24 AM,3.3,MFC-III TUT,RI,SY,DA,Tutorial,2,N 605
TUESDAY,9:36 AM,4.3,PBL-I,,SY,DA,Lecture,2,
TUESDAY,10:48 AM,9.4,MAdios,RK,SY,SMAD,Lecture,,S-604
TUESDAY,9:36 AM,10.35,MAdios,RK,SY,SMAD,Lecture,,S 604
TUESDAY,12:00 PM,11.45,DSAL,PK,SY,SMAD,Practical,,N 611
TUESDAY,10:48 AM,9.4,AA,NF2,TY,Core,Lecture,1,N 612
TUESDAY,9:36 AM,10.35,AA,NF1,TY,Core,Lecture,1,N 612
TUESDAY,12:00 PM,11.45,FML,PB,TY,Core,Lecture,1,N 605
TUESDAY,10:48 AM,12.4,NS,RHB,TY,Core,Lecture,1,N 605
TUESDAY,10:48 AM,12.4,FSD,RK,TY,Core,Lecture,1,S 601
TUESDAY,9:36 AM,2.35,PBL,,TY,Core,Lecture,1,
TUESDAY,9:36 AM,4.3,MDOE,,TY,Core,Lecture,1,
TUESDAY,10:48 AM,9.4,TOC,IR,TY,DA,Lecture,1,N 609
TUESDAY,9:36 AM,10.35,FML,RR,TY,DA,Lecture,1,N 609
TUESDAY,12:00 PM,11.45,HHVL,PS,TY,DA,Practical,1,S 614
TUESDAY,12:00 PM,11.45,CVL,NF2,TY,DA,Practical,1,N 611
TUESDAY,9:36 AM,4.3,PBL,,TY,DA,Lecture,1,
TUESDAY,10:48 AM,9.4,KOTLIN PROG.,,TY,SMAD,Practical,,S-604
TUESDAY,12:00 PM,11.45,FSDL,RB,TY,SMAD,Practical,,S 611
TUESDAY,10:48 AM,9.4,BI,SH,LY,Core-I,Lecture,,N 607
TUESDAY,9:36 AM,10.35,IS,PSD,LY,Core-I,Lecture,,N 607
TUESDAY,12:00 PM,11.45,DL,AJ,LY,Core-I,Lecture,,N 607
TUESDAY,10:48 AM,12.4,NLP,KL,LY,Core-I,Lecture,,N 607
TUESDAY,9:36 AM,2.35,APLIII DLL,AJ,LY,Core-I,Practical,,S 609
TUESDAY,9:36 AM,4.3,PBL,,LY,Core-I,Lecture,,
TUESDAY,9:36 AM,2.35,ISL,,LY,Core II,Practical,,N 611
TUESDAY,10:48 AM,9.4,DL,AJ,LY,DA-I,Lecture,,N 609
TUESDAY,9:36 AM,10.35,DI M,PJ,LY,DA-I,Lecture,,N 609
TUESDAY,12:00 PM,11.45,BI,SH,LY,DA-I,Lecture,,N 609
TUESDAY,10:48 AM,12.4,BDE,NF1,LY,DA-I,Lecture,,N 609
TUESDAY,9:36 AM,2.35,week1&3 :DA1: APL III BI,SH,LY,DA-I,Lecture,,S 610 Week 2 &4: DA 2: APL III BI(SH) S 610
TUESDAY,10:48 AM,9.4,DLL,JN,LY,SMAD,Lecture,,S 610
TUESDAY,12:00 PM,11.45,IADL,NF1,LY,SMAD,Practical,,S 604
TUESDAY,9:36 AM,2.35,PDM,RAB,LY,SMAD,Lecture,,N 609
TUESDAY,8:24 AM,3.3,PDM,RAB,LY,SMAD,Lecture,,N 609
WEDNESDAY,10:48 AM,9.4,DSAL,PK,SY,DA,Practical,1,N611
WEDNESDAY,12:00 PM,11.45,DSCi,IR,SY,DA,Lecture,1,S 601
WEDNESDAY,10:48 AM,12.4,EFE,AB,SY,DA,Lecture,1,N 609
WEDNESDAY,9:36 AM,2.35,PBL,,SY,DA,Lecture,1,
WEDNESDAY,10:48 AM,9.4,JP,RAB,SY,DA,Lecture,2,S 610
WEDNESDAY,10:48 AM,9.4,DBPL,,SY,SMAD,Practical,,S 611
WEDNESDAY,12:00 PM,11.45,MFC-III,,SY,SMAD,Lecture,,N 601
WEDNESDAY,10:48 AM,9.4,NSL,RHB,TY,Core,Practical,1,N 613
WEDNESDAY,10:48 AM,9.4,FSDL,RK,TY,Core,Practical,1,S 614
WEDNESDAY,12:00 PM,11.45,"SCIL N 605,N 607",,TY,Core,Lecture,1,
WEDNESDAY,9:36 AM,4.3,PBL,,TY,Core,Lecture,1,
WEDNESDAY,9:36 AM,2.35,FMLL,PB,TY,Core,Practical,2,S 614
WEDNESDAY,10:48 AM,9.4,FML,RR,TY,DA,Lecture,1,N-605
WEDNESDAY,9:36 AM,10.35,TOC,IR,TY,DA,Lecture,1,N 605
WEDNESDAY,9:36 AM,10.35,FSD,RB,TY,SMAD,Lecture,,S 611
WEDNESDAY,9:36 AM,2.35,KOTLIN PROG.,,TY,SMAD,Practical,,S 604
WEDNESDAY,10:48 AM,9.4,IS,PSD,LY,Core-I,Lecture,,N 607
WEDNESDAY,9:36 AM,10.35,BI,SH,LY,Core-I,Lecture,,N 607
WEDNESDAY,12:00 PM,11.45,NLP,KL,LY,Core-I,Lecture,,N 612
WEDNESDAY,10:48 AM,12.4,DL,AJ,LY,Core-I,Lecture,,N 612
WEDNESDAY,9:36 AM,2.35,ISL,,LY,Core-I,Practical,,N 611
WEDNESDAY,9:36 AM,4.3,EAI-OE,SC,LY,Core-I,Lecture,,N 609
WEDNESDAY,9:36 AM,2.35,APLIII DLL,AJ,LY,Core II,Practical,,S 609
WEDNESDAY,10:48 AM,9.4,NLP,,LY,DA-I,Lecture,,
WEDNESDAY,10:48 AM,9.4,DM(KL,,LY,DA-I,Practical,,
WEDNESDAY,10:48 AM,9.4,NF)N 609,,LY,DA-I,Lecture,,
WEDNESDAY,10:48 AM,9.4,S 601,,LY,DA-I,Lecture,,
WEDNESDAY,9:36 AM,10.35,DL,AJ,LY,DA-I,Lecture,,N 609
WEDNESDAY,12:00 PM,11.45,BDE,NF,LY,DA-I,Lecture,,N 613
WEDNESDAY,9:36 AM,4.3,BDE,NF2,LY,DA-I,Lecture,,N 611
WEDNESDAY,12:00 PM,11.45,DLL,SH,LY,DA-II,Lecture,,S 609
WEDNESDAY,9:36 AM,2.35,week1&3:APL III NLP,KL,LY,DA-II,Lecture,,S 611
WEDNESDAY,9:36 AM,2.35,DM,NF1,LY,DA-II,Lecture,,N 613 Week 2 &4: Library slot
WEDNESDAY,9:36 AM,10.35,DL,JN,LY,SMAD,Lecture,,S 601
WEDNESDAY,12:00 PM,11.45,FSDL,RB,LY,SMAD,Practical,,S 614
WEDNESDAY,9:36 AM,2.35,PDM,RAB,LY,SMAD,Lecture,,N 607
WEDNESDAY,8:24 AM,3.3,DL,JN,LY,SMAD,Lecture,,N 607
