School,Degree,Program,Department,Specialization
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Core
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Blockchain Technology
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Cloud Computing
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Big Data & Cloud Engineering
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Artificial Intelligence & Edge Computing
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Cyber Security & Forensics
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Artificial Intelligence & Analytics 
MIT School of Computing,Undergraduate,BTech,Computer Science & Engineering,Software Product Engineering
MIT School of Computing,Undergraduate,BTech,Information Technology,Core
MIT School of Computing,Undergraduate,BTech,Information Technology,Data Analytics
MIT School of Computing,Undergraduate,BTech,Information Technology,Software & Mobile App Development
MIT School of Computing,Postgraduate,MTech,Computer Science & Engineering,Intelligent Systems & Analytics
MIT School of Computing,Postgraduate,MTech,Information Technology,Cyber Security
MIT School of Computing,Postgraduate,MSc,Computer Science & Engineering,Artificial Intelligence & Machine Learning
