Course Code,Course,Course Type,Section,SEM,Class Level,L,T,P,Credits
23ASH1109,Mathematical Foundation for Computing-III,BSC,DA,III,SY,2,1,0,3
23IT1104,Data Science,BSC,DA,III,SY,3,0,0,3
23IT2007,Computer Organization & Architecture,PCC,DA,III,SY,2,1,0,3
23IT2003,Database Programming,ESC,DA,III,SY,2,0,4,4
23IT2001,Data Structures and Algorithms,PCC,DA,III,SY,3,0,2,4
23CSE1011,Economics for Engineers,PCC,DA,III,SY,2,0,0,2
23CSE2007,Java Programming,HSSM-ECO,DA,III,SY,0,0,4,2
23IT1010,Project Based Learning - I,ESC,DA,III,SY,0,0,4,2
23CIV1302,Environmental Studies,HSSM-AEC,DA,III,SY,2,0,0,2
23SHD1007,"Societal immersion, spirituality and morality",MDHC-VEC,DA,III,SY,2,0,0,0
23ASH1109,Mathematical Foundation for Computing-III,MDHC-VEC,SMAD,III,SY,2,1,0,3
23IT1103,Mobile Application Development with iOS,BSC,SMAD,III,SY,0,0,4,2
23IT2003,Database Programming,PCC,SMAD,III,SY,2,0,4,4
23IT2001,Data Structures and Algorithms,PCC,SMAD,III,SY,3,0,2,4
23CSE1011,Economics for Engineers,PCC,SMAD,III,SY,2,0,0,2
23CSE2007,Java Programming,HSSM-ECO,SMAD,III,SY,0,0,4,2
23IT1010,Project Based Learning - I,ESC,SMAD,III,SY,0,0,4,2
23CIV1302,Environmental Studies,HSSM-AEC,SMAD,III,SY,2,0,0,2
23SHD1007,"Societal immersion, spirituality and morality",MDHC-VEC,SMAD,III,SY,2,0,0,0
23IT2012,Analysis of Algorithms,MDHC-VEC,CORE,V,TY,3,0,0,3
23IT2100,Fundamentals of Machine Learning,PCC,CORE,V,TY,3,0,0,3
23IT2101,Fundamentals of Machine Learning Laboratory,PCC,CORE,V,TY,0,0,2,1
23IT3010,Project Based Learning - III,PCC,CORE,V,TY,0,0,4,2
25MBFT302,Block chain for Banking & Finance,VSEC,CORE,V,TY,4,0,0,4
25MBDM101,Fundamentals of Digital Marketing,MDM-Minor,CORE,V,TY,4,0,0,4
24MBHR101,Talent Acquisition & Retention,MDM-Minor,CORE,V,TY,4,0,0,4
